train_urls,iterable,instruction_tune_compatible,text,caption,instruction,question,response,image_ext,wd_path
7752,True,True,,,"
Answer the question using a single word.",What is the value of role?,5,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_stage2_dvqa
4425,True,True,,,"
Answer the question using either Yes or No.",Does Deep Sky Blue have the maximum area under the curve?,Yes,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_stage2_figureqa
139,True,True,,,"
Identify the solution to the question posed in the table. Lauren Keyana Keke Palmer (born August 26, 1993) is an American actress, singer, songwriter, dancer and television personality. Palmer was born in Harvey, Illinois, and raised in Robbins, Illinois. She released her debut album, So Uncool, on September 18, 2007, through Atlantic Records. The album failed to chart on the US Billboard 200 but did chart at number 85 on the R&B chart. The album was preceded by the second single Keep It Movin'. Palmer made her acting debut in the 2004 film Barbershop 2: Back in Business and rose to prominence in 2006 for her breakthrough role in Akeelah and the Bee as well as starring in Madea's Family Reunion. Palmer has also starred in films such as The Longshots (2008), Shrink (2009) and Animal (2014). In 2012, Palmer starred in four films: Joyful Noise, Winx Club: The Secret of the Lost Kingdom, Ice Age: Continental Drift, and Virgin Mary. Besides films, Palmer has also starred in the television films Knights of the South Bronx (2005), Jump In! (2007), and Rags (2012), among others. Palmer has also had numerous television roles including the lead role in Nickelodeon sitcom True Jackson, VP. Palmer earned $20,000 per episode of True Jackson, VP, which made her the fourth-highest-paid child star on television. ",What city is the setting for the television series in which Keke Palmer plays Arletta Marion.,Philadelphia,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/s2_ott_train_with_context_and_diversified_instr
147,True,True,,,,"What is the difference between the answers to the following questions about G and F
Question for G: How much did the number of foreign students studying in Poland increase within five years?
Question for F: How many goals did Silvio Romero and Rafael Santos Borr score in the 2019/2020 season?",66.3,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_large_image_joint_qa
883,True,True,,,"
Answer the question using a single number.","According to E, What is the average CO2 emissions (% of total fuel combustion) in Turkey per year ?",32.7454,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_large_image_single_qna_260k
27,True,True,,,,,A champagne bottle is in the middle of the image. There are glasses on either side of it.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_mmllm_densely_caption_8k
517,True,True,,,,,A man standing in the mountains looking at ice.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_mmllm_flickr30k_blur
22,True,True,,,,Describe the scene in this picture in detail (3 to 4 sentences).,A man driving mini taxi that has no passengers is changing lanes in front of a silver vehicle. The mini taxi has several wooden poles in its cargo compartment. In the backgrounds on the sidewalk is a large group of people gathered in line. A restaurant that sells salads and sushi can be seen in the background.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_mmllm_mit_dense_captions_6k
351,True,True,,,,,A pedestrian walk sign hangs next to a No turn on red sign.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_mmllm_textcaps_blur
1470,True,True,,,Summarize the text in the image in 1-2 bullet points.,,"• Alice's most general strategy is to prepare a state | ψ'⟩=∑_i=1^k μ_i | φ'_i⟩ | ϕ_i⟩, which can be split into two parts | ψ'_0⟩ and | ψ'_1⟩ after Bob's measurement.
• Bob tests the state | ψ'_1⟩ against the state | ψ̃_̃1̃⟩, which would have resulted if Alice had prepared the honest state | ψ̃⟩. The inner product between | ψ'_1⟩ and | ψ_1⟩ is maximized if | φ'_i⟩=| i⟩ for all i, and sending | ψ”⟩=∑_i=1^k μ_i | i⟩ | ϕ_i⟩ instead of | ψ'⟩ only increases Alice's success probability.",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_pdf_summarization_unicode
27,True,True,,,,What was the density range of the calcium inserts used in the water phantom?,0 to 1.550 g/cm2.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_poster_fact_qa
1000,True,True,,,"
Answer the question using a single word or number.",Does the motorbike have the same size as the truck?,Yes,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/super_clevr_30k_train_update
46,True,True,,,"Use 1 keyword or short phrase to answer the question. Then concatenate these keywords or key phrases with a special character ,"," What are some interesting facts about this organism?

",Narcine entemedor,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/kg_entity_with_wikitext_instruction_question_answer_pair_various_format_length_sft_data
41,True,True,,,,We travelled to United States to try this food. What is the food called?,Wähe,jpg,/fsx_3/bucket/yetian12/open-ended-cleaned
1648,True,True,,A variety of shower poufs in different colors are displayed on a rack.,,,,jpg,/fsx_1/datasets_30days/sg_production_data_test_n_training/training_wds/20240722_20241018/concise_captions
1648,True,True,,"The image shows a person's hand holding a smartphone with a black screen displaying text in Spanish. The phone appears to be turned on, and the text is visible on the screen. The person is wearing a blue shirt with a ring on their finger. In the background, there is a keyboard and other computer equipment.",,,,jpg,/fsx_1/datasets_30days/sg_production_data_test_n_training/training_wds/20240722_20241018/dense_captions
8238,True,True,,,,What type of plant is this?,It appears to be a Calathea plant.,jpg,/fsx_1/datasets_30days/sg_production_data_test_n_training/training_wds/20240722_20241018/vqa
391,True,True,,Gardenia gummifera is a species of plant in the family Rubiaceae. It is endemic to India.,"Answer the question using a single word or a continuous phrase from the image.
The phrase can span multiple lines.",What is the name of this plant?,Gardenia gummifera,png,/fsx_3/bucket/cyprien/data/wds_plants_wiki_qa1_p
77,True,True,,,,"How many photos of a man is hitting a ball with a tennis racket
Quick response, please.",Two.,png,/fsx_3/dataset01/cauldron/cocoqa
8,True,True,,,,"what's the total amount of Goodwill impairment of Year Ended December 31 2008, Product sales of Year Ended December 31 2010, and Sales and service revenues of Year Ended December 31 2012 ?","
Computations: ((2465.0 + 5798.0) + 6708.0)
Answer: 14971.0.",png,/fsx_3/dataset01/cauldron/multihiertt
34,True,True,,,,What are every one of the educational institutions?,"Arizona, Clemson, Colorado State, Connecticut, Fresno State, Oklahoma State, Penn State, Western Michigan.",png,/fsx_3/dataset01/cauldron/robut_sqa
13,True,True,,,,What was the number of nonvested shares at expected attainment in 2019?,"669,469.",png,/fsx_3/dataset01/cauldron/tat_qa
30,True,True,,,,Can you break down the data visualization and explain its message?,"This statistic shows the shipment share of mobile computing devices in K-12 schools in the United States in 2016 and 2017. In the fourth quarter of 2017, the Chrome OS-based Chromebook dominated the U.S. K-12 market with a market share of almost 60 percent.",png,/fsx_3/dataset01/cauldron/chart2text
48,True,True,,,,Translate this image into TikZ code.,"\documentclass[border=2mm]{standalone}
\usepackage{tikz}
\usetikzlibrary{through}
\begin{document}
\begin{tikzpicture}
   \draw (0,0) circle (3cm);
   \coordinate (a) at (90:3);
   \coordinate (b) at (-30:3);
   \coordinate (c) at (210:3);
   \foreach \in in {1,2,...,5}
   {
     \node[circle through=(a),draw] {};
     \draw (a)--(b)--(c)--cycle;
     \coordinate(aux) at (a);
     \path (a)--(b) coordinate[pos=.5] (a);
     \path (b)--(c) coordinate[pos=.5] (b);
     \path (c)--(aux) coordinate[pos=.5] (c);
   }
\end{tikzpicture}

\end{document}",png,/fsx_3/dataset01/cauldron/datikz
